iter	CrossEntropy
0	0.6901736113
1	0.6875564482
2	0.684896551
3	0.6843506515
4	0.6824809349
5	0.6813421893
6	0.6773671343
7	0.6734244224
8	0.6729359539
9	0.6714466306
10	0.6682723812
11	0.6662947766
12	0.6656431889
13	0.6625174306
14	0.6598121315
15	0.655886691
16	0.6526535596
17	0.649726072
18	0.6486932953
19	0.6473325952
20	0.6458653175
21	0.644468249
22	0.6419598164
23	0.6403514651
24	0.6394483414
25	0.6364853748
26	0.6342581532
27	0.6336782257
28	0.6315902055
29	0.6290311755
30	0.6284003697
31	0.6262832829
32	0.6239017884
33	0.6231237306
34	0.6211267951
35	0.6193575713
36	0.6187955704
37	0.6163961024
38	0.6156122875
39	0.6142330053
40	0.6134050521
41	0.6102653457
42	0.6082926089
43	0.6070133513
44	0.6056150191
45	0.6034276295
46	0.6006792221
47	0.5984458689
48	0.5966085422
49	0.5958373649
50	0.5932917215
51	0.5931182112
52	0.5912226577
53	0.5894258651
54	0.5869632089
55	0.5850308658
56	0.583383057
57	0.5832477874
58	0.5819677341
59	0.5803186616
60	0.5800094604
61	0.5787527634
62	0.5774762674
63	0.5768935315
64	0.5761730452
65	0.5760753608
66	0.5751094701
67	0.573773624
68	0.5732021683
69	0.5725321389
70	0.5710943023
71	0.5706218883
72	0.570027404
73	0.5682186759
74	0.5670913977
75	0.5658064766
76	0.5654560393
77	0.5645496392
78	0.5641457961
79	0.5622170571
80	0.5614821545
81	0.5608429704
82	0.5596389302
83	0.5591846302
84	0.5580872612
85	0.5569502474
86	0.555646089
87	0.5547749806
88	0.5533451946
89	0.5523014186
90	0.5518340596
91	0.5511684301
92	0.5508911039
93	0.5496965654
94	0.5483943729
95	0.5474911087
96	0.5465233458
97	0.5445112919
98	0.5434248287
99	0.5429069659
100	0.5424298245
101	0.5420350619
102	0.5415899359
103	0.5392962497
104	0.5385221236
105	0.5379680797
106	0.5377364363
107	0.5374770837
108	0.5373086754
109	0.5370561097
110	0.5362193102
111	0.5350723267
112	0.5343006345
113	0.5342668873
114	0.5341531952
115	0.5336105253
116	0.5331870237
117	0.5324969145
118	0.5317777856
119	0.5310645074
120	0.5300914086
121	0.5297189724
122	0.5293961507
123	0.5290729546
124	0.528259371
125	0.5276897407
126	0.5272037998
127	0.5264812072
128	0.5258740384
129	0.5254976237
130	0.5249690893
131	0.5243245224
132	0.5239527884
133	0.5238139147
134	0.5232713383
135	0.5229196841
136	0.522249608
137	0.5216195042
138	0.5214908342
139	0.5213760189
140	0.5212201546
141	0.5211592598
142	0.5205348664
143	0.5201910756
144	0.5191878336
145	0.5188358049
146	0.5183633442
147	0.5181648863
148	0.5177369849
149	0.5175051543
150	0.5168423331
151	0.5163284489
152	0.515804829
153	0.5153348022
154	0.514577105
155	0.5138825025
156	0.5133732521
157	0.5125583578
158	0.5122788786
159	0.512018309
160	0.5112222777
161	0.5105335727
162	0.5101177005
163	0.509667379
164	0.5092141087
165	0.508949467
166	0.5084737766
167	0.5079688324
168	0.5074871976
169	0.5066986552
170	0.5061742396
171	0.5061588404
172	0.506103422
173	0.5057528443
174	0.5056751462
175	0.5053797061
176	0.5044155004
177	0.5042418029
178	0.5035952235
179	0.5032909838
180	0.5029180796
181	0.5024821276
182	0.5024033061
183	0.5020578771
184	0.5016669993
185	0.5012730323
186	0.5006480305
187	0.5003401867
188	0.4999532875
189	0.499708632
190	0.499480265
191	0.4992533959
192	0.4987779863
193	0.4984971029
194	0.4983086615
195	0.4981413297
196	0.4979334638
197	0.4976583376
198	0.4975033626
199	0.4969327962
200	0.4966636143
201	0.4962988543
202	0.4961574063
203	0.4958083264
204	0.4956115535
205	0.4955307662
206	0.4952241862
207	0.4948262876
208	0.4945576674
209	0.4941447439
210	0.4939225086
211	0.4935968785
212	0.4935017217
213	0.4933743155
214	0.4933591503
215	0.4929946244
216	0.4929617665
217	0.4929322319
218	0.4928251863
219	0.4925644763
220	0.4923765966
221	0.4919148545
222	0.4916347199
223	0.4915720934
224	0.4910049907
225	0.4907652966
226	0.4906585319
227	0.4903971198
228	0.4901762886
229	0.4899346287
230	0.48972021
231	0.4894267825
232	0.4893056483
233	0.4891434652
234	0.4889297017
235	0.4888321578
236	0.4884768527
237	0.4881753278
238	0.488132547
239	0.4878085084
240	0.4876826
241	0.4873275289
242	0.4872710807
243	0.4871984845
244	0.4869656241
245	0.4869052442
246	0.4866383558
247	0.4864322218
248	0.4863781139
249	0.4859137974
250	0.4857057911
251	0.4854816835
252	0.4853749187
253	0.4849834325
254	0.4845762194
255	0.4840468424
256	0.4835722754
257	0.4833538781
258	0.4832224934
259	0.4829016843
260	0.4827346334
261	0.4825825603
262	0.4825681909
263	0.4824399422
264	0.4824074587
265	0.4820396564
266	0.4818061407
267	0.4817116392
268	0.4814846764
269	0.4813413093
270	0.4812052908
271	0.4807521141
272	0.4807155118
273	0.480671514
274	0.480570132
275	0.4803508922
276	0.4800107055
277	0.4797660968
278	0.4793375401
279	0.4792499191
280	0.4788208476
281	0.4786313297
282	0.4785589674
283	0.4785028469
284	0.4782829519
285	0.477946182
286	0.477889921
287	0.477609178
288	0.4775327437
289	0.4771820724
290	0.4770387053
291	0.4767708808
292	0.4766841959
293	0.4764370596
294	0.4763486897
295	0.4761524317
296	0.4760592408
297	0.4758722972
298	0.4757194285
299	0.4755837844
300	0.4753059902
301	0.4751922982
302	0.4748388185
303	0.4747361259
304	0.4746087197
305	0.4745314896
306	0.474436286
307	0.4741238085
308	0.4737432749
309	0.4734579449
310	0.4733025486
311	0.4731222984
312	0.4730507318
313	0.4728412277
314	0.4727110599
315	0.4724423461
316	0.4723974123
317	0.4721334258
318	0.4719646899
319	0.4718353646
320	0.4716219756
321	0.4715913176
322	0.4715006074
323	0.471392298
324	0.4712029206
325	0.4710036202
326	0.4708231358
327	0.4705549369
328	0.4703310165
329	0.4702714791
330	0.470172063
331	0.4701309672
332	0.4700304277
333	0.4698879967
334	0.4696601446
335	0.469626257
336	0.4694921575
337	0.4694563041
338	0.4692012108
339	0.4691657318
340	0.4689371308
341	0.4687348348
342	0.4684942047
343	0.4683397913
344	0.4681653918
345	0.4680399514
346	0.4679191917
347	0.4679068817
348	0.4677728758
349	0.4676306321
350	0.4675786773
351	0.4675175953
352	0.4674327827
