iter	Passed	Remaining
0	0	404
1	1	389
2	2	394
3	3	381
4	3	359
5	4	343
6	4	330
7	5	319
8	6	311
9	6	306
10	7	300
11	7	296
12	8	291
13	8	291
14	9	288
15	9	284
16	10	280
17	11	279
18	11	276
19	12	274
20	12	272
21	13	270
22	13	268
23	14	266
24	14	264
25	15	262
26	15	259
27	16	257
28	16	256
29	17	254
30	17	253
31	18	255
32	19	254
33	19	253
34	20	254
35	20	254
36	21	254
37	22	253
38	22	252
39	23	250
40	23	252
41	24	255
42	25	255
43	26	254
44	26	253
45	27	252
46	28	253
47	28	253
48	29	252
49	29	251
50	30	250
51	30	249
52	31	248
53	31	248
54	32	247
55	33	246
56	33	245
57	34	244
58	34	243
59	35	242
60	35	241
61	36	240
62	37	241
63	37	241
64	38	240
65	38	239
66	39	239
67	39	238
68	40	237
69	41	236
70	41	235
71	42	234
72	42	233
73	43	232
74	43	231
75	44	230
76	44	229
77	45	228
78	45	228
79	46	227
80	47	227
81	47	227
82	48	226
83	48	225
84	49	224
85	49	224
86	50	223
87	50	222
88	51	221
89	51	220
90	52	219
91	52	219
92	53	218
93	53	217
94	54	216
95	54	215
96	55	215
97	56	215
98	56	214
99	57	214
100	58	213
101	58	213
102	59	212
103	59	211
104	60	210
105	60	210
106	61	209
107	61	208
108	62	207
109	62	207
110	63	206
111	63	205
112	64	205
113	65	204
114	65	204
115	66	203
116	66	202
117	67	202
118	67	201
119	68	200
120	68	200
121	69	199
122	69	198
123	70	198
124	70	197
125	71	196
126	71	195
127	72	195
128	72	194
129	73	193
130	74	193
131	74	193
132	75	192
133	76	192
134	76	191
135	77	191
136	77	190
137	78	189
138	78	189
139	79	188
140	79	187
141	80	187
142	80	186
143	81	185
144	81	185
145	82	184
146	82	183
147	83	183
148	84	183
149	84	182
150	85	182
151	86	181
152	86	181
153	87	180
154	87	179
155	88	179
156	88	178
157	89	178
158	89	177
159	90	176
160	90	176
161	91	175
162	91	174
163	92	174
164	93	173
165	93	173
166	94	172
167	94	172
168	95	171
169	95	171
170	96	170
171	97	169
172	97	169
173	98	168
174	98	167
175	99	167
176	99	166
177	100	166
178	100	165
179	101	164
180	101	164
181	102	163
182	103	163
183	103	162
184	104	162
185	104	161
186	105	161
187	106	160
188	106	160
189	107	159
190	107	159
191	108	158
192	108	157
193	109	157
194	109	156
195	110	155
196	110	155
197	111	154
198	112	154
199	112	154
200	113	153
201	113	152
202	114	152
203	115	151
204	115	151
205	116	150
206	116	149
207	117	149
208	117	148
209	118	148
210	118	147
211	119	146
212	119	146
213	120	145
214	121	145
215	121	144
216	122	144
217	123	144
218	123	143
219	124	143
220	125	142
221	125	142
222	126	141
223	126	141
224	127	140
225	128	139
226	128	139
227	129	138
228	129	138
229	130	137
230	130	137
231	131	136
232	132	136
233	132	135
234	133	134
235	133	134
236	134	133
237	134	133
238	135	132
239	135	131
240	136	131
241	136	130
242	137	130
243	137	129
244	138	128
245	138	128
246	139	127
247	140	127
248	140	126
249	141	126
250	142	125
251	142	125
252	143	124
253	143	123
254	144	123
255	144	122
256	145	122
257	145	121
258	146	120
259	146	120
260	147	119
261	147	119
262	148	118
263	149	118
264	149	117
265	150	117
266	151	116
267	151	115
268	152	115
269	152	114
270	153	114
271	153	113
272	154	112
273	154	112
274	155	111
275	155	111
276	156	110
277	156	109
278	157	109
279	157	108
280	158	108
281	158	107
282	159	107
283	160	106
284	160	106
285	161	105
286	161	104
287	162	104
288	162	103
289	163	103
290	163	102
291	164	101
292	164	101
293	165	100
294	165	100
295	166	99
296	167	99
297	167	98
298	168	98
299	169	97
300	170	97
301	170	96
302	171	96
303	172	95
304	173	95
305	173	94
306	174	94
307	175	94
308	176	93
309	177	93
310	177	92
311	178	92
312	179	91
313	179	90
314	180	90
315	180	89
316	181	89
317	181	88
318	182	87
319	182	87
320	183	86
321	183	86
322	184	85
323	184	84
324	185	84
325	185	83
326	186	83
327	187	82
328	187	82
329	188	81
330	188	80
331	189	80
332	189	79
333	190	79
334	190	78
335	191	78
336	191	77
337	192	76
338	192	76
339	193	75
340	194	75
341	194	74
342	195	74
343	196	73
344	196	72
345	197	72
346	197	71
347	198	71
348	199	70
349	199	70
350	200	69
351	200	68
352	201	68
353	201	67
354	202	67
355	202	66
356	203	66
357	203	65
358	204	64
359	204	64
360	205	63
361	206	63
362	207	62
363	207	62
364	208	61
365	208	61
366	209	60
367	210	59
368	210	59
369	211	58
370	211	58
371	212	57
372	212	57
373	213	56
374	213	55
375	214	55
376	215	54
377	215	54
378	216	53
379	216	53
380	217	52
381	217	51
382	218	51
383	218	50
384	219	50
385	220	49
386	220	49
387	221	48
388	221	47
389	222	47
390	222	46
391	223	46
392	223	45
393	224	44
394	224	44
395	225	43
396	226	43
397	226	42
398	227	42
399	227	41
400	228	40
401	228	40
402	229	39
